source,target,key,type,description,evidence,confidence,citations,chunk_id,page,file_name
Material:regolith_simulants,Chunk:chunk_99780812c420d780,EVIDENCED_BY:33502bd08244c37e,EVIDENCED_BY,supported by chunk,regolith.pdf p.3 page_text chunk_99780812c420d780,1.0,regolith.pdf p.3 page_text chunk_99780812c420d780,,,
Method:statistical_analysis_similarities,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:18a915ddda539b23,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Method:statistical_analysis_similarities,Paper:regolith,REPORTED_IN:33c3d94f9395eb50,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Method:statistical_analysis_similarities,Material:regolith_simulants,APPLIES_TO:01a71c16cc69713b,APPLIES_TO,The statistical analysis concerns similarities and differences of regolith simulants.,similarities and differences of regolith simulants,0.9,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Concept:r_vine_copulas,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:a974c7c44063dd78,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Concept:r_vine_copulas,Paper:regolith,REPORTED_IN:c04056b53fe16b89,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Concept:r_vine_copulas,Method:pair_copula_approach,DERIVED_FROM:104d190a57668af4,DERIVED_FROM,R-vine copulas are based on the pair-copula approach.,R-vine copulas are based on the so-called pair-copula approach,0.93,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Method:pair_copula_approach,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:705b4bd1868d03b9,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Method:pair_copula_approach,Paper:regolith,REPORTED_IN:4b5aeeaf20e08596,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,1.0,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,,,
Method:pair_copula_approach,Chunk:chunk_5647a24ba128bfa1,EVIDENCED_BY:a591ea66c282a332,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,1.0,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,,,
Method:pair_copula_approach,Equation:equation_8,SUPPORTS:f218407ab4466251,SUPPORTS,Iterative application of the pair-copula approach yields representation formulas similar to Equation (8).,"By iteratively applying the pair-copula approach stated above, representation formulas similar to that given in Equation (8)",0.78,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,chunk_5647a24ba128bfa1,7,regolith.pdf
Method:pair_copula_approach,Concept:univariate_densities_f1_f2_f3,USES:ff73c41f4f6bb53c,USES,The pair-copula representation expresses multivariate densities using univariate probability densities.,d-variate probability densities are expressed by univariate probability densities,0.75,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,chunk_5647a24ba128bfa1,7,regolith.pdf
Method:pair_copula_approach,Concept:bivariate_copula_densities,USES:3979bf3143a41b0c,USES,The pair-copula representation expresses multivariate densities using bivariate copula densities.,and bivariate copula densities,0.78,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,chunk_5647a24ba128bfa1,7,regolith.pdf
Variable:random_vector_x,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:cbf096cfa016f158,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:random_vector_x,Paper:regolith,REPORTED_IN:8289d3d92d88c8de,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,1.0,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,,,
Variable:random_vector_x,Variable:joint_density_f,HAS_PROPERTY:5eb72cee21ad689c,HAS_PROPERTY,The random vector X has a joint probability density f.,"with joint probability density f:R3 →[0,∞)",0.9,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Variable:random_vector_x,Variable:marginal_densities_f1_f2_f3,HAS_PROPERTY:db827ac632c0dbd3,HAS_PROPERTY,"The random vector X has marginal densities f1,f2,f3.","marginal densities f1,f2,f3",0.9,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Variable:random_vector_x,Variable:cdfs_f1_f2_f3,HAS_PROPERTY:7c6ab2cbf213893f,HAS_PROPERTY,"The random vector X has corresponding univariate cumulative distribution functions F1,F2,F3.","corresponding (univariate) cumulative distribution functions F1,F2,F3",0.88,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Variable:random_vector_x,Chunk:chunk_73c87c0131a065ed,EVIDENCED_BY:c9d01e87f72e554d,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,1.0,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,,,
Variable:random_vector_x,Variable:x1,PART_OF:ae85fa681e9991af,PART_OF,"X1 is a component of X=(X1,X2,X3).","X=(X ,X ,X )",0.8,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,chunk_73c87c0131a065ed,7,regolith.pdf
Variable:random_vector_x,Variable:x2,PART_OF:c6e94c498888a925,PART_OF,"X2 is a component of X=(X1,X2,X3).","X=(X ,X ,X )",0.8,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,chunk_73c87c0131a065ed,7,regolith.pdf
Variable:random_vector_x,Variable:x3,PART_OF:4f83799688b39f8d,PART_OF,"X3 is a component of X=(X1,X2,X3).","X=(X ,X ,X )",0.8,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,chunk_73c87c0131a065ed,7,regolith.pdf
Variable:joint_density_f,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:77862cd7916743be,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:joint_density_f,Paper:regolith,REPORTED_IN:99b2ead1d248076f,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:marginal_densities_f1_f2_f3,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:4c952d85fb4bfabf,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:marginal_densities_f1_f2_f3,Paper:regolith,REPORTED_IN:9d71eb5b5a23d592,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:cdfs_f1_f2_f3,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:6f70d0f38b49af6b,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:cdfs_f1_f2_f3,Paper:regolith,REPORTED_IN:f4b630fd2c0802c6,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:copula_densities_c12_c23,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:9fade1268dc5a4bc,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:copula_densities_c12_c23,Paper:regolith,REPORTED_IN:2442dbffa09814ad,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:conditional_copula_density_c13_given_x2,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:429059fdf7d0e2c8,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:conditional_copula_density_c13_given_x2,Paper:regolith,REPORTED_IN:f2433c45865c110e,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Equation:equation_8,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:2d80e06dbc4efb72,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Equation:equation_8,Paper:regolith,REPORTED_IN:0fb03b250c561b68,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,1.0,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,,,
Equation:equation_8,Variable:joint_density_f,MENTIONS:16d9690c197959a1,MENTIONS,"Equation (8) expresses the joint density f(x1,x2,x3) in a factorized copula form.","f(x1,x2,x3)=c",0.75,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Equation:equation_8,Variable:copula_densities_c12_c23,MENTIONS:129ca951d021c849,MENTIONS,"Equation (8) includes the pair-copula densities c1,2 and c2,3.","×c1,2(...)c2,3(...)",0.78,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Equation:equation_8,Variable:conditional_copula_density_c13_given_x2,MENTIONS:b1e70887cee231f6,MENTIONS,"Equation (8) includes a conditional copula density for (X1,X3) given X2=x2.","c1,3∣X2=x2",0.8,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Equation:equation_8,Variable:marginal_densities_f1_f2_f3,MENTIONS:e0f218d9e9a897f7,MENTIONS,Equation (8) multiplies copula terms by marginal densities f1(x1)f2(x2)f3(x3).,f1(x1)f2(x2)f3(x3),0.86,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Equation:equation_8,Document:regolith_p7_chunk_3b9026e63363ad14,REPORTED_IN:e97beb212b5a83eb,REPORTED_IN,Equation (8) is reported in the provided document chunk.,(8),0.95,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Equation:equation_8,Chunk:chunk_5647a24ba128bfa1,EVIDENCED_BY:5f1ed83343f7f334,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,1.0,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,,,
Method:univariate_data_analysis,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:fdcd16f9e50a57a4,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Method:univariate_data_analysis,Paper:regolith,REPORTED_IN:a1f31a383ec3f18d,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Method:univariate_data_analysis,Method:sample_preparation_sieving,LIMITED_BY:8ea7071e5513c9a4,LIMITED_BY,The analysis is placed in perspective by noting effects of sample preparation removing certain particle sizes.,"during sample preparation, fines below 25μm and extremely large particles with sizes above 250μm were removed",0.9,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Method:univariate_data_analysis,Limitation:measured_fraction_25_250,LIMITED_BY:4ebbb9384e2863c0,LIMITED_BY,The analysis is valid only for the measured fraction of particle sizes between 25μm and 250μm.,considered valid only for the measured fraction of particle sizes between 25μm and 250μm,0.92,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Method:univariate_data_analysis,Limitation:non_volume_weighted_densities,LIMITED_BY:dcec99ae9bc587da,LIMITED_BY,"Probability densities used in the analysis are not volume-weighted, limiting correspondence to visual impression.",probability densities used in the following ... are not volume-weighted,0.9,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Method:sample_preparation_sieving,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:9fe966d7d17083a5,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Method:sample_preparation_sieving,Paper:regolith,REPORTED_IN:9fae250ec74dae2d,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Method:sample_preparation_sieving,Finding:bulk_properties_change,CAUSES:d7e6fe6049166835,CAUSES,Removing fines and very large particles may change bulk properties compared to manufacturer specifications.,may change bulk properties compared to the specifications of manufacturers,0.78,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Variable:particle_size,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:5cdc8d8bef3bfd7b,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Variable:particle_size,Paper:regolith,REPORTED_IN:4b5a454770898f83,REPORTED_IN,reported in this paper,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,1.0,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,,,
Variable:particle_size,Chunk:chunk_44889c813b9be835,EVIDENCED_BY:564afa3d00f25a9e,EVIDENCED_BY,supported by chunk,regolith.pdf p.2 page_text chunk_44889c813b9be835,1.0,regolith.pdf p.2 page_text chunk_44889c813b9be835,,,
Variable:particle_size,Variable:mech_properties,INFLUENCES:8a74960dfbf22626,INFLUENCES,Particle size influences mechanical properties.,but also by the size,0.75,regolith.pdf p.2 page_text chunk_44889c813b9be835,chunk_44889c813b9be835,2,regolith.pdf
Variable:particle_size,Chunk:chunk_e99dbc4d11e11bdf,EVIDENCED_BY:69491030c5168346,EVIDENCED_BY,supported by chunk,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,1.0,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,,,
Limitation:measured_fraction_25_250,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:71b9d78d36af2c6d,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Limitation:measured_fraction_25_250,Paper:regolith,REPORTED_IN:ad6bb3e45177e6af,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Limitation:measured_fraction_25_250,Limitation:sieving_inaccuracy,EVIDENCED_BY:0ffffd6505b4cb1e,EVIDENCED_BY,The presence of particles outside the intended size range is attributed to sieving inaccuracy.,due to the unavoidable inaccuracy of the sieving process,0.86,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Limitation:sieving_inaccuracy,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:2796da2350e36680,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Limitation:sieving_inaccuracy,Paper:regolith,REPORTED_IN:7e9a2ae57a12b906,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Finding:bulk_properties_change,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:a2cb864f25deee6a,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Finding:bulk_properties_change,Paper:regolith,REPORTED_IN:c3940f14c8e14a1a,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Limitation:non_volume_weighted_densities,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:6049b4eb4bc3022c,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Limitation:non_volume_weighted_densities,Paper:regolith,REPORTED_IN:3d860c8bc54aa174,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Instrument:laser_diffraction,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:ad1cade0f3d1f304,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Instrument:laser_diffraction,Paper:regolith,REPORTED_IN:f04d0a53d2e06e2e,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Instrument:laser_diffraction,Variable:particle_size,MEASURES:414eec235b7a3e5d,MEASURES,Laser diffraction is used to obtain particle sizes.,particle sizes as obtained by laser diffraction,0.9,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Dataset:particle_size_histograms,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:123b4fa65f410e3c,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Dataset:particle_size_histograms,Paper:regolith,REPORTED_IN:ea46ef3fa9f8eb99,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Dataset:particle_size_histograms,Instrument:laser_diffraction,DERIVED_FROM:75de97e975c7be5d,DERIVED_FROM,Particle size histograms are obtained by laser diffraction.,histograms of particle sizes as obtained by laser diffraction,0.88,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Chunk:chunk_73c87c0131a065ed,Paper:regolith,PART_OF:chunk_73c87c0131a065ed,PART_OF,chunk belongs to paper,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,1.0,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,,,
