source,target,key,type,description,evidence,confidence,citations,chunk_id,page,file_name
Concept:joint_bivariate_densities,Limitation:lim_independence_assumption,LIMITED_BY:47f6a331a6a12cdf,LIMITED_BY,The joint predicted probability densities are constructed under an independence assumption.,joint predicted probability densities ... which are assumed to be independent random variables,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Method:fitted_parametric_densities,Paper:mitra,REPORTED_IN:925a83c6027b02a0,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:fitted_parametric_densities,Dataset:experiments_f_set,APPLIES_TO:49f6d82f0f060ca4,APPLIES_TO,Fitted densities are shown for specific experiments in the set.,"the fitted densities for the experiments F1B2, F2B2, F1B3, and F1B4",0.75,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_high_agreement,Paper:mitra,REPORTED_IN:da65b8f456f2aaf6,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_high_agreement,Method:fitted_parametric_densities,SUPPORTS:6069db04d9adacc4,SUPPORTS,The chunk reports that fitted parametric densities agree well with measured descriptors.,high agreement of the fitted parametric probability densities with the displayed measured granule descriptors,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:feed_rate,Paper:mitra,REPORTED_IN:caa73c09ab7c0259,REPORTED_IN,reported in this paper,mitra.pdf p.9 page_text chunk_292a513b17ac9374,1.0,mitra.pdf p.9 page_text chunk_292a513b17ac9374,,,
Variable:feed_rate,Concept:joint_bivariate_densities,INFLUENCES:7360648eb05314ad,INFLUENCES,The joint probability densities are shown for specified feed rates as process parameters.,these probability densities are shown for a feed rate of 12.5 mL min−1 ... as well as a feed rate of 11 mL min−1,0.7,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:feed_rate,Concept:atomization_process,INFLUENCES:f9923640554474ad,INFLUENCES,Feed rate is investigated for its influence on the atomization process.,influence of feed rate and binder concentration on the atomization process,0.85,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Variable:feed_rate,Concept:size_distribution,INFLUENCES:8dfa002b054b7d14,INFLUENCES,Feed rate is a process parameter whose effect will be compared on granule size distribution.,comparetheeffectsofdifferentprocessparameters(feedrate andbinderconcentration)onthesizedistribution,0.75,mitra.pdf p.9 page_text chunk_292a513b17ac9374,chunk_292a513b17ac9374,9,mitra.pdf
Variable:feed_rate,Concept:shape_uniformity,INFLUENCES:df8d02844ce07613,INFLUENCES,Feed rate is a process parameter whose effect will be compared on granule shape uniformity.,andshapeuniformityofthegranules,0.65,mitra.pdf p.9 page_text chunk_292a513b17ac9374,chunk_292a513b17ac9374,9,mitra.pdf
Variable:binder_concentration,Paper:mitra,REPORTED_IN:09046a14f72eb283,REPORTED_IN,reported in this paper,mitra.pdf p.9 page_text chunk_292a513b17ac9374,1.0,mitra.pdf p.9 page_text chunk_292a513b17ac9374,,,
Variable:binder_concentration,Concept:joint_bivariate_densities,INFLUENCES:235983665cef9e8f,INFLUENCES,The joint probability densities are shown for specified binder concentrations as process parameters.,a binder concentration of 0.8 wt% ... and a binder concentration of 2.4 wt%,0.7,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:binder_concentration,Concept:atomization_process,INFLUENCES:bab1289cf94185a6,INFLUENCES,Binder concentration is investigated for its influence on the atomization process.,influence of feed rate and binder concentration on the atomization process,0.85,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Variable:binder_concentration,Concept:size_distribution,INFLUENCES:332cde3954afc27c,INFLUENCES,Binder concentration is a process parameter whose effect will be compared on granule size distribution.,comparetheeffectsofdifferentprocessparameters(feedrate andbinderconcentration)onthesizedistribution,0.75,mitra.pdf p.9 page_text chunk_292a513b17ac9374,chunk_292a513b17ac9374,9,mitra.pdf
Variable:binder_concentration,Concept:shape_uniformity,INFLUENCES:dba805b4e3c87556,INFLUENCES,Binder concentration is a process parameter whose effect will be compared on granule shape uniformity.,andshapeuniformityofthegranules,0.65,mitra.pdf p.9 page_text chunk_292a513b17ac9374,chunk_292a513b17ac9374,9,mitra.pdf
Equation:theta_equals_g_of_z,Paper:mitra,REPORTED_IN:4d61b423e0d74fc7,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Equation:theta_equals_g_of_z,Variable:z_concentration,DERIVED_FROM:86be8cc098fb2aa8,DERIVED_FROM,The model parameters θ are expressed as a function of concentration z.,θ = g(z),0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:z_concentration,Paper:mitra,REPORTED_IN:b8e382aac34a18af,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:z_concentration,Document:doc_mitra_p16,REPORTED_IN:57be72019dfb32e0,REPORTED_IN,The chunk specifies the range of concentrations z considered.,"arbitrary concentrations z ∈ [0.8, 3.2]",0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_7_8_ref,Paper:mitra,REPORTED_IN:1c62e2a27743c943,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:prob_density_prediction,Paper:mitra,REPORTED_IN:aa5eb2c428df8acd,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:prob_density_prediction,Equation:theta_equals_g_of_z,USES:dba509b795b95e6b,USES,Predicted model parameters θ=g(z) are inserted as part of density prediction.,By inserting the predicted model parameters θ = g(z),0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Method:prob_density_prediction,Equation:eq_7_8_ref,USES:755a519e8e4df30e,USES,Density prediction is performed by inserting predicted parameters into Equations (7) and (8).,"into Equations (7) and (8), predictions for the probability densities",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Document:doc_mitra_p10,Paper:mitra,REPORTED_IN:24c6f0ea55232bf8,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Document:doc_mitra_p10,Method:mle,MENTIONS:df5e0a659914ad2d,MENTIONS,The document chunk mentions maximum likelihood estimation for parameter fitting.,by means of maximum likelihood estimation,0.95,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Document:doc_mitra_p10,Instrument:hiwatch_s_ptv,MENTIONS:46b47cd6a471dbac,MENTIONS,The document chunk mentions the HiWatchS-PTV system for droplet data acquisition.,Using the HiWatchS-PTV system,0.95,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Method:mle,Paper:mitra,REPORTED_IN:8a211708f0306983,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Method:mle,Concept:likelihood_l,USES:fb76d03e0398a4fd,USES,Maximum likelihood estimation determines optimal parameter values by maximizing the likelihood function L.,by means of maximum likelihood estimation... the optimal parameter values... can be determined by maximizing the likelihood function,0.9,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Concept:likelihood_l,Paper:mitra,REPORTED_IN:6321717a72a884e0,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Equation:eq3_likelihood,Paper:mitra,REPORTED_IN:90bdd8a3d08aee99,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Equation:eq3_likelihood,Concept:likelihood_l,REPORTED_IN:7f3fbc4c80e5de21,REPORTED_IN,Equation (3) reports the mathematical form of the likelihood function L.,"the likelihood function L: Θn →R was considered, which is given by ... (3)",0.9,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Equation:eq4_argmax,Paper:mitra,REPORTED_IN:d04cd8a1e6bfaa69,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Equation:eq4_argmax,Method:mle,REPORTED_IN:e28d597c12641cdf,REPORTED_IN,Equation (4) reports the argmax criterion used in maximum likelihood estimation.,"(θ∗,...,θ∗) = argmax L(θ,...,θ ). (4)",0.9,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Finding:parametric_family_selection,Paper:mitra,REPORTED_IN:86954fda128cd5dd,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Finding:parametric_family_selection,Concept:likelihood_l,DERIVED_FROM:0950246d5e50cf2c,DERIVED_FROM,Selecting the best-fitting parametric family is based on comparing maximized likelihood values.,the family leading to the best fit can be identified by choosing the family that yields the largest likelihood value,0.88,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Concept:prob_density_f,Paper:mitra,REPORTED_IN:9d371db3d2bdac62,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Concept:prob_density_f,Descriptor:descriptor_under_consideration,APPLIES_TO:2432a1265bbc4954,APPLIES_TO,The probability density being modeled is for the descriptor under consideration.,predict the probability density of the descriptor under consideration,0.82,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Descriptor:descriptor_under_consideration,Paper:mitra,REPORTED_IN:efb8cfa8630104e8,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Variable:process_parameter_z,Paper:mitra,REPORTED_IN:d8d7792aead3771d,REPORTED_IN,reported in this paper,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,1.0,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,,,
Variable:process_parameter_z,Variable:feed_rate,HAS_DESCRIPTOR:0ee94f1967fca6fb,HAS_DESCRIPTOR,"In the F series, the process parameter z corresponds to feed rate.",the process parameters z (the feedrate in the F series,0.88,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,chunk_07eaf63ef31d9e7c,15,mitra.pdf
Variable:process_parameter_z,Variable:binder_concentration,HAS_DESCRIPTOR:b95b693c9a97183e,HAS_DESCRIPTOR,"In the B series, the process parameter z corresponds to binder concentration.",and the binder concentration in the B series),0.88,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,chunk_07eaf63ef31d9e7c,15,mitra.pdf
Method:regression_g,Paper:mitra,REPORTED_IN:31d2467522e720a7,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Method:regression_g,Variable:process_parameter_z,USES:6d4a73b86e845b99,USES,The regression function g uses the process parameter z as input to predict model parameters.,"a parametric regression function, g: R → Θ... maps the process parameter z ∈ R to a model parameter",0.9,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Method:regression_g,Variable:theta,MEASURES:0d91011ff9ebce56,MEASURES,The regression function g outputs the model parameter θ for the desired probability density.,θ = g(z) ∈ Θ,0.85,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Variable:theta,Paper:mitra,REPORTED_IN:18d3d0893d4bffbd,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Variable:theta,Concept:prob_density_f,HAS_PROPERTY:1138053f3219a506,HAS_PROPERTY,θ is a parameter of the desired probability density f.,"a model parameter, θ = g(z) ∈ Θ, of the desired probability density, f",0.85,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Method:linear_regression,Paper:mitra,REPORTED_IN:0ee24c524bef8532,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Method:linear_regression,Variable:a_param,USES:3509aabc64b5359a,USES,The linear regression function includes parameter a that must be fitted to data.,"where a,b ∈ Rm are parameters that have to be fitted to data",0.9,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Method:linear_regression,Variable:b_param,USES:5612760c6c14d23e,USES,The linear regression function includes parameter b that must be fitted to data.,"where a,b ∈ Rm are parameters that have to be fitted to data",0.9,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Equation:eq5_linear_g,Paper:mitra,REPORTED_IN:326dd0d6d0e1b834,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Equation:eq5_linear_g,Method:linear_regression,REPORTED_IN:27ea07e46282b6fd,REPORTED_IN,Equation (5) reports the linear form of the regression function g.,"given by g(z) = a·z+b, (5)",0.92,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Variable:a_param,Paper:mitra,REPORTED_IN:aac550dca65684de,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Variable:b_param,Paper:mitra,REPORTED_IN:8607434a602422c9,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Method:mse_regression,Paper:mitra,REPORTED_IN:bdba03c3808d1c27,REPORTED_IN,reported in this paper,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,1.0,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,,,
Method:mse_regression,Method:linear_regression,USES:0f59e22f19cecbd9,USES,Mean-squared-error-based regression is used to fit the linear regression parameters.,"optimal parameter values, a∗, b∗... are determined by means of a mean-squared error-based regression",0.9,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Method:mse_regression,Equation:eq6_argmin_mse,EVIDENCED_BY:6eb626ed1d4147ad,EVIDENCED_BY,The mean-squared error-based regression is expressed by Equation (6).,"determined by means of a mean-squared error- based regression ... i.e., ( a ∗ , b ∗ ) = argmin",0.85,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,chunk_295840f7d0018374,10,mitra.pdf
Method:mse_regression,Variable:param_a,USES:33c86308af4332a8,USES,The regression fits parameter a in R^m.,"where a , b ∈ R m are parameters that have to be fitted to data",0.85,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,chunk_295840f7d0018374,10,mitra.pdf
Method:mse_regression,Variable:param_b,USES:6ab0527404ca7ab8,USES,The regression fits parameter b in R^m.,"where a , b ∈ R m are parameters that have to be fitted to data",0.85,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,chunk_295840f7d0018374,10,mitra.pdf
Equation:eq6_mse,Paper:mitra,REPORTED_IN:272d0d89e61fd5e3,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Equation:eq6_mse,Method:mse_regression,REPORTED_IN:3796e5c948718392,REPORTED_IN,Equation (6) reports the objective minimized in the MSE-based regression for a and b.,"(a∗,b∗) = argmin ... ∑ (g(zi)−θi∗)2. (6)",0.92,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
