id,label,type,description,citations,pages,file_name,relevance,paper_stem
Variable:marginal_densities_f1_f2_f3,marginal_densities_f1_f2_f3,Variable,"Marginal densities f1,f2,f3 of X1,X2,X3 on R.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.55,regolith
Variable:cdfs_f1_f2_f3,cdfs_F1_F2_F3,Variable,"Univariate cumulative distribution functions F1,F2,F3 corresponding to X1,X2,X3.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.55,regolith
Variable:copula_densities_c12_c23,copula_densities_c12_c23,Variable,"Copula densities c1,2 and c2,3 corresponding to the distributions of (X1,X2) and (X2,X3).",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.55,regolith
Variable:conditional_copula_density_c13_given_x2,conditional_copula_density_c13_given_x2,Variable,"Copula density c1,3|X2=x2 corresponding to the conditional distribution of (X1,X3) given X2.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.55,regolith
Equation:equation_8,equation_8,Equation,"Factorization of f(x1,x2,x3) using conditional and pair copula densities and marginal densities. | Referenced equation giving a representation formula related to the pair-copula approach.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14 || regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.9,regolith
Method:univariate_data_analysis,univariate_data_analysis,Method,Univariate data analysis performed with stated limitations due to sample preparation and density weighting choices.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.6,regolith
Method:sample_preparation_sieving,sample_preparation_sieving,Method,Sample preparation procedure removing fines below 25μm and extremely large particles above 250μm by sieving.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.7,regolith
Variable:particle_size,particle_size,Variable,Particle size variable analyzed via histograms and constrained by sample preparation to a specified measured fraction. | Particle size noted as influencing mechanical properties of regolith materials. | Particle size measured/assessed for regolith simulant samples.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.2 page_text chunk_44889c813b9be835 || regolith.pdf p.7 page_text chunk_3b9026e63363ad14,"13,2,7",regolith.pdf,0.65,regolith
Limitation:measured_fraction_25_250,measured_fraction_25_250,Limitation,"Validity limitation stating analysis applies only to measured particle sizes between 25μm and 250μm, with possible small out-of-range presence.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.8,regolith
Limitation:sieving_inaccuracy,sieving_inaccuracy,Limitation,Unavoidable inaccuracy of the sieving process leading to some particles outside the intended size range.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.6,regolith
Finding:bulk_properties_change,bulk_properties_change,Finding,Removing fines and very large particles may change bulk properties compared to manufacturer specifications.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.6,regolith
Limitation:non_volume_weighted_densities,non_volume_weighted_densities,Limitation,Probability densities used are not volume-weighted and may not reflect the visual impression from an image figure.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.65,regolith
Instrument:laser_diffraction,laser_diffraction,Instrument,Laser diffraction instrument used to obtain particle size histograms.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.6,regolith
Dataset:particle_size_histograms,particle_size_histograms,Dataset,Histograms of particle sizes obtained by laser diffraction for comparison.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.55,regolith
Chunk:chunk_73c87c0131a065ed,chunk_73c87c0131a065ed,Chunk,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,1.0,regolith
Document:doc_p7_chunk73c87c,doc_p7_chunk73c87c,Document,"PDF chunk describing comparisons of particle-size histograms from laser diffraction and CT image data and copula-based conditional/joint distribution formulas for variables X1, X2, X3.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,1.0,regolith
Concept:particle_size_histograms_fig4,particle_size_histograms_fig4,Concept,"Histograms of particle sizes shown in Figure 4, including conditional distributions and CT-derived sizes.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.85,regolith
Method:laser_diffraction,laser_diffraction,Method,Particle-size measurement technique based on laser diffraction used to obtain conditional distributions/histograms. | Laser diffraction method used to determine particle size distribution after sieving.,regolith.pdf p.3 page_text chunk_99780812c420d780 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,"3,7",regolith.pdf,0.85,regolith
Method:ct_imaging,ct_imaging,Method,CT imaging technique whose image data are used to compute particle sizes for histograms. | Computed tomography imaging used to study regolith particle morphology and texture.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,"13,7",regolith.pdf,0.8,regolith
Dataset:laser_diffraction_data,laser_diffraction_data,Dataset,Particle-size data obtained by laser diffraction and used for conditional distributions/histograms.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.7,regolith
Dataset:ct_image_data,ct_image_data,Dataset,CT image data used to compute particle sizes for histogram comparison.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.7,regolith
Limitation:measurement_technique_diff_limitation,measurement_technique_diff_limitation,Limitation,Comparisons between laser diffraction results and CT image data are affected by differences between measurement techniques.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.9,regolith
Material:fines,fines,Material,Fine particles that may be present in laser diffraction data but not in CT-imaged samples.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.75,regolith
Limitation:sample_vs_bulk_limitation,sample_vs_bulk_limitation,Limitation,Measured samples can differ from the original bulk material in particle size distribution and in other hard-to-quantify ways.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.8,regolith
Descriptor:size_descriptors,size_descriptors,Descriptor,Descriptors related to particle size whose probability densities are visualized (Figure 5).,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.7,regolith
Descriptor:shape_descriptors,shape_descriptors,Descriptor,Descriptors related to particle shape whose probability densities are visualized (Figure 5).,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.7,regolith
Descriptor:textural_descriptors,textural_descriptors,Descriptor,Descriptors related to particle texture whose probability densities are shown (Figure 6).,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.7,regolith
Dataset:table3_mean_values,table3_mean_values,Dataset,Table 3 summary providing mean values of the probability densities for all descriptors and simulants.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.75,regolith
Application:applications_focus,applications_focus,Application,"Different applications manufacturers focus on when specifying regolith simulants, associated with different compositions.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.55,regolith
Variable:x1,X1,Variable,"A random variable component of X=(X1,X2,X3) used in conditional distribution formulas. | First component of the trivariate random vector X.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.8,regolith
Variable:x2,X2,Variable,"A random variable component of X=(X1,X2,X3) that is conditioned on in the conditional distributions. | Second component of the trivariate random vector X.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.85,regolith
Variable:x3,X3,Variable,"A random variable component of X=(X1,X2,X3) used in conditional distribution formulas. | Third component of the trivariate random vector X.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.8,regolith
Variable:copula_density_c,copula_density_c,Variable,"Copula density c used to express conditional distributions via c(F1(x),F2(x2)) and c(F2(x2),F3(x)).",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.85,regolith
Variable:joint_density_f_r3,joint_density_f_R3,Variable,"Joint probability density f:R3→[0,∞) of X=(X1,X2,X3) mentioned as computed using a formula (Equation (8)).",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.75,regolith
Concept:assumption_c_independent_of_x2,assumption_c_independent_of_x2,Concept,Simplifying assumption that the copula density does not depend on the specific value of X2.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.8,regolith
Equation:eq_conditional_cdf_x1_given_x2,eq_conditional_cdf_X1_given_X2,Equation,"Formula expressing F_{1|X2=x2}(x1) using an integral of f_{1,2} or equivalently copula density c and f2.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.9,regolith
Equation:eq_conditional_cdf_x3_given_x2,eq_conditional_cdf_X3_given_X2,Equation,"Formula expressing F_{3|X2=x2}(x3) using an integral of f_{2,3} or equivalently copula density c and f3.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.9,regolith
Method:eq8_joint_density_approach,eq8_joint_density_approach,Method,"Approach (formula given in Equation (8)) for computing the joint probability density f of X=(X1,X2,X3).",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.7,regolith
Finding:finding_mean_values_differ,finding_mean_values_differ,Finding,"Mean values across simulants in Table 3 differ substantially, consistent with differing application focus and compositions.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.7,regolith
Person:erdogan_2007,erdogan_2007,Person,Cited author group associated with noting the issue when comparing laser diffraction results with CT image data.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.35,regolith
Person:haff_2010,haff_2010,Person,Cited author group associated with the simplifying assumption about copula density independence from X2.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.35,regolith
Chunk:chunk_44889c813b9be835,chunk_44889c813b9be835,Chunk,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,1.0,regolith
Document:doc_chunk,doc_chunk,Document,"PDF chunk discussing 3D morphology of lunar regolith, regolith simulants, and multivariate analysis of particle descriptors.",regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,1.0,regolith
Material:lunar_regolith,lunar_regolith,Material,Lunar regolith whose particle shapes and mechanical behavior under lunar conditions are discussed. | Lunar surface particulate material whose mechanical properties are important for future lunar missions. | Actual lunar regolith used for comparison with simulants. | Lunar regolith samples discussed as differing by landing site and measurement technique.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8 || regolith.pdf p.13 page_text chunk_384212dd00619739 || regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.2 page_text chunk_44889c813b9be835,"10,13,2",regolith.pdf,0.95,regolith
Variable:mech_properties,mech_properties,Variable,Mechanical properties considered for evaluating whether simulants represent lunar regolith.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.9,regolith
Variable:mineralogical_properties,mineralogical_properties,Variable,Mineralogical properties that influence mechanical properties of regolith.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.75,regolith
Variable:particle_shape,particle_shape,Variable,Particle shape noted as influencing mechanical properties and requiring thorough investigation. | Particle shape measured/assessed for regolith simulant samples.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.2 page_text chunk_44889c813b9be835,"13,2",regolith.pdf,0.9,regolith
Limitation:simulant_representativeness_unclear,simulant_representativeness_unclear,Limitation,Uncertainty about whether regolith simulants represent lunar regolith in mechanical properties.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.9,regolith
Limitation:predict_behavior_limitation,predict_behavior_limitation,Limitation,Regolith simulants may be insufficient to reliably predict actual regolith mechanical behavior under lunar conditions.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.9,regolith
Limitation:limited_shape_analysis_past,limited_shape_analysis_past,Limitation,Past analyses of lunar regolith particle shapes were limited to single or few particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.75,regolith
Method:stochastic_3d_modeling,stochastic_3d_modeling,Method,Stochastic 3D modeling used to obtain a digital twin of lunar regolith particle morphology and composition.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.9,regolith
Method:stochastic_3d_model,stochastic_3d_model,Method,Stochastic 3D model used to generate virtual but realistic regolith particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.85,regolith
Concept:digital_twin,digital_twin,Concept,A digital twin of 3D morphology and mineralogical composition of lunar regolith particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.85,regolith
Method:numerical_simulations,numerical_simulations,Method,Numerical simulations proposed to bridge the gap by operating on a digital twin of regolith morphology and composition.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.8,regolith
Application:virtual_materials_testing,virtual_materials_testing,Application,Virtual materials testing enabled by generating realistic virtual regolith particles from stochastic 3D models.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.7,regolith
Method:precise_shape_matching,precise_shape_matching,Method,Matching the precise shapes of individual particles as a modeling approach.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.55,regolith
Limitation:overfitting_limitation,overfitting_limitation,Limitation,Overfitting risk associated with matching precise shapes of individual particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.6,regolith
Descriptor:morph_descriptors,morph_descriptors,Descriptor,Morphological particle descriptors used as univariate or multivariate distributions to assess stochastic model performance.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.85,regolith
Concept:univariate_distributions,univariate_distributions,Concept,Univariate distributions of individual morphological particle descriptors used for model performance assessment.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.7,regolith
Concept:multivariate_distributions,multivariate_distributions,Concept,"Multivariate distributions used to assess performance of a stochastic 3D model for particle sizes, shapes and composition.",regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.8,regolith
Method:distribution_fitting,distribution_fitting,Method,Fitting univariate or multivariate distributions of morphological descriptors to assess stochastic model performance.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.8,regolith
Variable:model_performance,model_performance,Variable,Performance of a stochastic 3D model as assessed by fitting distributions of particle descriptors.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.65,regolith
Method:multivariate_stat_analysis,multivariate_stat_analysis,Method,Multivariate statistical analysis used to understand similarities and differences of regolith simulant particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.85,regolith
Method:parametric_models,parametric_models,Method,Parametric models used for multivariate non-Gaussian probability distributions of descriptor vectors.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.8,regolith
Concept:non_gaussian_multivar_dists,non_gaussian_multivar_dists,Concept,Multivariate non-Gaussian probability distributions modeled for descriptor vectors.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.75,regolith
Variable:descriptor_vectors,descriptor_vectors,Variable,Descriptor vectors whose multivariate non-Gaussian probability distributions are modeled.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.7,regolith
Dataset:micro_ct_data,micro_ct_data,Dataset,3D X-ray micro-CT data used for analysis of different regolith simulants and comparison to lunar regolith samples.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.85,regolith
Instrument:xray_micro_ct,xray_micro_ct,Instrument,3D X-ray micro-CT used to produce the data analyzed.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.75,regolith
Concept:mare_regolith,mare_regolith,Concept,Mare regolith represented by some of the regolith simulants.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.6,regolith
Concept:highlands_regolith,highlands_regolith,Concept,Highlands regolith represented by some of the regolith simulants.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.6,regolith
Dataset:three_lunar_samples,three_lunar_samples,Dataset,Three different samples of lunar regolith used for comparison to simulants.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.7,regolith
Finding:shape_investigation_necessity,shape_investigation_necessity,Finding,"A thorough investigation of lunar regolith particle shapes is necessary, as highlighted by comparisons.",regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.75,regolith
Finding:similarities_differences_understanding,similarities_differences_understanding,Finding,Multivariate analysis and parametric modeling are used to better understand similarities and differences of simulant particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.65,regolith
Variable:mineralogical_composition,mineralogical_composition,Variable,Mineralogical composition of lunar regolith particles included in the proposed digital twin.,regolith.pdf p.2 page_text chunk_44889c813b9be835,2,regolith.pdf,0.65,regolith
Chunk:chunk_5647a24ba128bfa1,chunk_5647a24ba128bfa1,Chunk,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,1.0,regolith
Document:doc_regolith_p7_chunk5647,doc_regolith_p7_chunk5647,Document,"PDF chunk discussing trivariate copula modeling, multivariate data analysis, and correlations among regolith particle descriptors.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.95,regolith
Variable:x_trivariate,X_trivariate,Variable,"A three-dimensional random vector denoted as X=(X1,X2,X3).",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.85,regolith
Concept:univariate_densities_f1_f2_f3,univariate_densities_f1_f2_f3,Concept,"Univariate probability densities f1, f2 and f3 used in parametric models.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.75,regolith
Concept:bivariate_copula_densities,bivariate_copula_densities,Concept,"Bivariate copula densities including c1,3|2, c1,2 and c2,3.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.8,regolith
Concept:rvine_copulas,rvine_copulas,Concept,R-vine copulas for constructing multivariate copulas in arbitrary dimension d>3.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.75,regolith
Method:trivariate_copula_models,trivariate_copula_models,Method,Copula models restricted to three variables (trivariate) used in the present paper.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.85,regolith
Limitation:limitation_trivariate_only,limitation_trivariate_only,Limitation,The paper uses only trivariate copula models and does not elaborate on general R-vine construction for d>3.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.8,regolith
Method:fit_rvine_copulas_to_data,fit_rvine_copulas_to_data,Method,Fitting (R-vine) copulas to data.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.8,regolith
Instrument:pyvinecopulib,pyvinecopulib,Instrument,A software package used for fitting (R-vine) copulas to data.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.8,regolith
Method:multivariate_data_analysis,multivariate_data_analysis,Method,Analysis focused on correlations between different particle descriptors and their joint multivariate distributions. | A multivariate analysis used to study correlations among particle descriptors.,regolith.pdf p.13 page_text chunk_384212dd00619739 || regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,"13,7",regolith.pdf,0.85,regolith
Application:application_stochastic_3d_modeling,application_stochastic_3d_modeling,Application,Stochastic 3D modeling of regolith particles motivated by understanding descriptor correlations and joint distributions.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.75,regolith
Method:spearman_rank_correlation,spearman_rank_correlation,Method,Spearman rank correlation coefficients used to assess relationships between pairs of particle descriptors. | Spearman’s rank correlation used to quantify association between pairs of particle descriptors.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8 || regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,"10,7",regolith.pdf,0.85,regolith
Concept:particle_descriptors,particle_descriptors,Concept,Measured descriptors of individual particles used for distribution and correlation analysis. | Morphological and textural descriptors used to characterize particles.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,"13,7",regolith.pdf,0.8,regolith
Descriptor:volume_descriptor,volume_descriptor,Descriptor,Particle volume descriptor considered in correlation analysis.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.7,regolith
Descriptor:surface_area_descriptor,surface_area_descriptor,Descriptor,Particle surface area descriptor considered in correlation analysis.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.7,regolith
Finding:finding_volume_surface_area_high_corr,finding_volume_surface_area_high_corr,Finding,Volumes and surface areas of particles are highly correlated.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.9,regolith
Dataset:dataset_image_data_189504,dataset_image_data_189504,Dataset,Image data referring to 189504 individual particles of seven different regolith simulants.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.9,regolith
Material:csm_lht_1,CSM_LHT_1,Material,A regolith simulant chosen to demonstrate multivariate methods due to interesting correlations.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.8,regolith
Person:joe_2014,joe_2014,Person,Joe (2014) is cited for details on copulas and for Spearman rank correlation coefficients.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.45,regolith
Person:czado_2019,czado_2019,Person,Czado (2019) is cited for further details on R-vine copulas for d>3.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.35,regolith
Person:aigner_2023,aigner_2023,Person,Aigner et al. (2023) is cited for further details on R-vine copulas for d>3.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.3,regolith
Person:furat_2024,furat_2024,Person,Furat et al. (2024) is cited for further details on R-vine copulas for d>3.,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.3,regolith
Chunk:chunk_e99dbc4d11e11bdf,chunk_e99dbc4d11e11bdf,Chunk,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,1.0,regolith
Document:regolith.pdf_p13,regolith.pdf_p13,Document,A paper section discussing regolith simulant comparability and CT-based descriptor analysis for lunar regolith and simulants.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.95,regolith
Concept:mechanical_properties,Mechanical_properties,Concept,Mechanical behavior characteristics of regolith or simulants relevant to handling and processing.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.9,regolith
Descriptor:reduced_gravity,Reduced_gravity,Descriptor,A lunar-like condition under which regolith mechanical properties are considered.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.7,regolith
Descriptor:vacuum,Vacuum,Descriptor,A lunar-like condition under which regolith mechanical properties are considered.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.7,regolith
Concept:rheology,Rheology,Concept,Flow and deformation behavior of lunar regolith needed for equipment development.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.85,regolith
Application:regolith_handling_equipment,Regolith_handling_equipment,Application,Equipment for handling regolith during future lunar missions.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.8,regolith
Method:statistical_analysis,Statistical_analysis,Method,Statistical analysis applied after CT imaging to analyze particle descriptors.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.8,regolith
