source,target,key,type,description,evidence,confidence,citations,chunk_id,page,file_name
Concept:epcc,Paper:mitra,REPORTED_IN:285b16c3e8b969a3,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Concept:epcc,Document:doc_mitra_p16,REPORTED_IN:0cc95b53bf91a9ee,REPORTED_IN,The chunk introduces EPCC as the metric used to quantify linear correlation.,the empirical Pearson correlation coefficients (EPCC) were considered,0.9,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Concept:epcc,Equation:eq_epcc_9,DERIVED_FROM:87c344636bcfb582,DERIVED_FROM,EPCC is defined by Equation (9).,"EPCC(x,y) = ... , (9)",0.9,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_epcc_9,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:d1dcc5c9a48c8873,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Equation:eq_epcc_9,Paper:mitra,REPORTED_IN:3ad0b6d5cf827f7c,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Equation:eq_epcc_9,Variable:x_mean,MENTIONS:6b4daa66beb705b6,MENTIONS,Equation (9) specifies x as the mean of x values.,where x and y are the means of the x and y values,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_epcc_9,Variable:y_mean,MENTIONS:9b42261fe4c28390,MENTIONS,Equation (9) specifies y as the mean of y values.,where x and y are the means of the x and y values,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_epcc_9,Variable:x_i,MENTIONS:0d78fbb4477facce,MENTIONS,Equation (9) uses per-sample x_i values.,∑n i=1 (x_i − x),0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_epcc_9,Variable:y_i,MENTIONS:43c3c6620a5a83d0,MENTIONS,Equation (9) uses per-sample y_i values.,∑n i=1 (y_i − y),0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:x_i,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:4ecd402d5cfc3141,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:x_i,Paper:mitra,REPORTED_IN:b2948bb0144f5e3a,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:x_i,Variable:d_fmax,HAS_DESCRIPTOR:fb3d8b8dc36158e6,HAS_DESCRIPTOR,x_i corresponds to the maximum Feret diameter descriptor for the i-th granule.,x_i represent the maximum Feret diameter,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:y_i,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:c6ed459407a03ab4,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:y_i,Paper:mitra,REPORTED_IN:a1032f0d460120a3,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:y_i,Variable:psi_a,HAS_DESCRIPTOR:d8b8c76a67c0f91e,HAS_DESCRIPTOR,y_i corresponds to the aspect ratio descriptor for the i-th granule.,and aspect ratio of the i-th granule,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:x_mean,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:316a91258c1d53de,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:x_mean,Paper:mitra,REPORTED_IN:7403f6b3b3ccf771,REPORTED_IN,reported in this paper,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,1.0,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,,,
Variable:x_mean,Chunk:chunk_1c86e251de2cb8bc,EVIDENCED_BY:47c4915cfdb9130d,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,1.0,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,,,
Variable:x_mean,Variable:xi,DERIVED_FROM:343e00ea8454f443,DERIVED_FROM,The mean x is defined as the mean of the x_i values.,"x and y are the means of the x i and y i values, respectively",0.85,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,chunk_1c86e251de2cb8bc,16,mitra.pdf
Variable:y_mean,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:4be465f62dc84232,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:y_mean,Paper:mitra,REPORTED_IN:3b5a34c68e4bc0d9,REPORTED_IN,reported in this paper,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,1.0,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,,,
Variable:y_mean,Chunk:chunk_1c86e251de2cb8bc,EVIDENCED_BY:8d19ff710ac516b5,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,1.0,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,,,
Variable:y_mean,Variable:yi,DERIVED_FROM:c376887d3c38f21c,DERIVED_FROM,The mean y is defined as the mean of the y_i values.,"x and y are the means of the x i and y i values, respectively",0.85,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,chunk_1c86e251de2cb8bc,16,mitra.pdf
Dataset:experiments_f_set,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:e6871106d63c4211,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Dataset:experiments_f_set,Paper:mitra,REPORTED_IN:43a183151cc28219,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_no_linear_corr,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:a7d8171a41548ab1,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_no_linear_corr,Paper:mitra,REPORTED_IN:f9f4c1ee6e8e2f58,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_no_linear_corr,Dataset:experiments_f_set,APPLIES_TO:ae65e31d65a1269a,APPLIES_TO,The near-zero EPCC result is reported for the listed experiments.,"For the experiments F1B2, F2B2, F3B2, F1B1, F1B3, and F1B4",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_no_linear_corr,Concept:epcc,EVIDENCED_BY:1a07a3b686f3312b,EVIDENCED_BY,Little to no linear correlation is supported by EPCC values close to 0 and below 0.02.,"EPCC had values close to 0 (EPCC < 0.02), indicating little to no linear correlation",0.9,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_no_linear_corr,Variable:d_fmax,MENTIONS:08514a25965ee60b,MENTIONS,The finding concerns maximum Feret diameter as one of the two descriptors.,the granule descriptors d_Fmax and Ψ_A,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_no_linear_corr,Variable:psi_a,MENTIONS:1b1e57b5746cdfd2,MENTIONS,The finding concerns aspect ratio as one of the two descriptors.,the granule descriptors d_Fmax and Ψ_A,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_no_linear_corr,Limitation:lim_independence_assumption,SUPPORTS:2cd87cfb9e80da31,SUPPORTS,Near-zero EPCC values are used to justify treating the descriptors as independent (and neglecting dependency modeling).,"observed near-zero EPCC values suggest ... thus, for simplicity, any modeling of their dependency will be neglected",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Limitation:lim_independence_assumption,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:4889d33334c5da52,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Limitation:lim_independence_assumption,Paper:mitra,REPORTED_IN:d161b6ed19efa557,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Limitation:lim_independence_assumption,Variable:d_fmax,APPLIES_TO:cf9ea506e4c96b44,APPLIES_TO,Independence assumption applies to maximum Feret diameter in the joint modeling.,"maximum Feret diameter and aspect ratio, which are assumed to be independent random variables",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Limitation:lim_independence_assumption,Variable:psi_a,APPLIES_TO:8f967db590b60eda,APPLIES_TO,Independence assumption applies to aspect ratio in the joint modeling.,"maximum Feret diameter and aspect ratio, which are assumed to be independent random variables",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_neglect_dependency,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:b1f7d45f424357af,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_neglect_dependency,Paper:mitra,REPORTED_IN:463ff20864cb211e,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_neglect_dependency,Finding:finding_no_linear_corr,DERIVED_FROM:2a063a88743a0881,DERIVED_FROM,The decision to neglect dependency modeling is based on the near-zero correlation observation.,"The observed near-zero EPCC values suggest ... and thus, for simplicity, any modeling of their dependency will be neglected",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Concept:joint_bivariate_densities,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:7365f980e232c371,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Concept:joint_bivariate_densities,Paper:mitra,REPORTED_IN:8b63397d5b3ac8de,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Concept:joint_bivariate_densities,Limitation:lim_independence_assumption,LIMITED_BY:47f6a331a6a12cdf,LIMITED_BY,The joint predicted probability densities are constructed under an independence assumption.,joint predicted probability densities ... which are assumed to be independent random variables,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Method:fitted_parametric_densities,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:c5e492ca9dc7a251,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:fitted_parametric_densities,Paper:mitra,REPORTED_IN:925a83c6027b02a0,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:fitted_parametric_densities,Dataset:experiments_f_set,APPLIES_TO:49f6d82f0f060ca4,APPLIES_TO,Fitted densities are shown for specific experiments in the set.,"the fitted densities for the experiments F1B2, F2B2, F1B3, and F1B4",0.75,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_high_agreement,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:50c4024c064d044a,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_high_agreement,Paper:mitra,REPORTED_IN:da65b8f456f2aaf6,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_high_agreement,Method:fitted_parametric_densities,SUPPORTS:6069db04d9adacc4,SUPPORTS,The chunk reports that fitted parametric densities agree well with measured descriptors.,high agreement of the fitted parametric probability densities with the displayed measured granule descriptors,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:feed_rate,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:bcaf5c6115335cdd,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:feed_rate,Paper:mitra,REPORTED_IN:caa73c09ab7c0259,REPORTED_IN,reported in this paper,mitra.pdf p.9 page_text chunk_292a513b17ac9374,1.0,mitra.pdf p.9 page_text chunk_292a513b17ac9374,,,
Variable:feed_rate,Concept:joint_bivariate_densities,INFLUENCES:7360648eb05314ad,INFLUENCES,The joint probability densities are shown for specified feed rates as process parameters.,these probability densities are shown for a feed rate of 12.5 mL min−1 ... as well as a feed rate of 11 mL min−1,0.7,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:feed_rate,Chunk:chunk_895bf8c81d74ac37,EVIDENCED_BY:7b5bdbbd8827159a,EVIDENCED_BY,supported by chunk,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Variable:feed_rate,Concept:atomization_process,INFLUENCES:f9923640554474ad,INFLUENCES,Feed rate is investigated for its influence on the atomization process.,influence of feed rate and binder concentration on the atomization process,0.85,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Variable:feed_rate,Chunk:chunk_07eaf63ef31d9e7c,EVIDENCED_BY:55523d429bf24499,EVIDENCED_BY,supported by chunk,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,1.0,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,,,
Variable:feed_rate,Chunk:chunk_292a513b17ac9374,EVIDENCED_BY:cfb166002641db77,EVIDENCED_BY,supported by chunk,mitra.pdf p.9 page_text chunk_292a513b17ac9374,1.0,mitra.pdf p.9 page_text chunk_292a513b17ac9374,,,
Variable:feed_rate,Concept:size_distribution,INFLUENCES:8dfa002b054b7d14,INFLUENCES,Feed rate is a process parameter whose effect will be compared on granule size distribution.,comparetheeffectsofdifferentprocessparameters(feedrate andbinderconcentration)onthesizedistribution,0.75,mitra.pdf p.9 page_text chunk_292a513b17ac9374,chunk_292a513b17ac9374,9,mitra.pdf
Variable:feed_rate,Concept:shape_uniformity,INFLUENCES:df8d02844ce07613,INFLUENCES,Feed rate is a process parameter whose effect will be compared on granule shape uniformity.,andshapeuniformityofthegranules,0.65,mitra.pdf p.9 page_text chunk_292a513b17ac9374,chunk_292a513b17ac9374,9,mitra.pdf
Variable:binder_concentration,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:85722b66f80f7ff6,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:binder_concentration,Paper:mitra,REPORTED_IN:09046a14f72eb283,REPORTED_IN,reported in this paper,mitra.pdf p.9 page_text chunk_292a513b17ac9374,1.0,mitra.pdf p.9 page_text chunk_292a513b17ac9374,,,
Variable:binder_concentration,Concept:joint_bivariate_densities,INFLUENCES:235983665cef9e8f,INFLUENCES,The joint probability densities are shown for specified binder concentrations as process parameters.,a binder concentration of 0.8 wt% ... and a binder concentration of 2.4 wt%,0.7,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:binder_concentration,Chunk:chunk_895bf8c81d74ac37,EVIDENCED_BY:d1a7c290bb3f36cb,EVIDENCED_BY,supported by chunk,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Variable:binder_concentration,Concept:atomization_process,INFLUENCES:bab1289cf94185a6,INFLUENCES,Binder concentration is investigated for its influence on the atomization process.,influence of feed rate and binder concentration on the atomization process,0.85,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Variable:binder_concentration,Chunk:chunk_07eaf63ef31d9e7c,EVIDENCED_BY:43cb393489fae676,EVIDENCED_BY,supported by chunk,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,1.0,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,,,
Variable:binder_concentration,Chunk:chunk_292a513b17ac9374,EVIDENCED_BY:880937ee189723bc,EVIDENCED_BY,supported by chunk,mitra.pdf p.9 page_text chunk_292a513b17ac9374,1.0,mitra.pdf p.9 page_text chunk_292a513b17ac9374,,,
Variable:binder_concentration,Concept:size_distribution,INFLUENCES:332cde3954afc27c,INFLUENCES,Binder concentration is a process parameter whose effect will be compared on granule size distribution.,comparetheeffectsofdifferentprocessparameters(feedrate andbinderconcentration)onthesizedistribution,0.75,mitra.pdf p.9 page_text chunk_292a513b17ac9374,chunk_292a513b17ac9374,9,mitra.pdf
Variable:binder_concentration,Concept:shape_uniformity,INFLUENCES:dba805b4e3c87556,INFLUENCES,Binder concentration is a process parameter whose effect will be compared on granule shape uniformity.,andshapeuniformityofthegranules,0.65,mitra.pdf p.9 page_text chunk_292a513b17ac9374,chunk_292a513b17ac9374,9,mitra.pdf
Equation:theta_equals_g_of_z,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:d545b6755c0e0709,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Equation:theta_equals_g_of_z,Paper:mitra,REPORTED_IN:4d61b423e0d74fc7,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Equation:theta_equals_g_of_z,Variable:z_concentration,DERIVED_FROM:86be8cc098fb2aa8,DERIVED_FROM,The model parameters θ are expressed as a function of concentration z.,θ = g(z),0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:z_concentration,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:d8c43b4f0586de06,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:z_concentration,Paper:mitra,REPORTED_IN:b8e382aac34a18af,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:z_concentration,Document:doc_mitra_p16,REPORTED_IN:57be72019dfb32e0,REPORTED_IN,The chunk specifies the range of concentrations z considered.,"arbitrary concentrations z ∈ [0.8, 3.2]",0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_7_8_ref,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:fb18f06e9139b84f,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Equation:eq_7_8_ref,Paper:mitra,REPORTED_IN:1c62e2a27743c943,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:prob_density_prediction,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:45ec10fb912914f0,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:prob_density_prediction,Paper:mitra,REPORTED_IN:aa5eb2c428df8acd,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:prob_density_prediction,Equation:theta_equals_g_of_z,USES:dba509b795b95e6b,USES,Predicted model parameters θ=g(z) are inserted as part of density prediction.,By inserting the predicted model parameters θ = g(z),0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Method:prob_density_prediction,Equation:eq_7_8_ref,USES:755a519e8e4df30e,USES,Density prediction is performed by inserting predicted parameters into Equations (7) and (8).,"into Equations (7) and (8), predictions for the probability densities",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Chunk:chunk_895bf8c81d74ac37,Paper:mitra,PART_OF:chunk_895bf8c81d74ac37,PART_OF,chunk belongs to paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Document:doc_mitra_p10,Chunk:chunk_895bf8c81d74ac37,EVIDENCED_BY:65faf87594d06871,EVIDENCED_BY,supported by chunk,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Document:doc_mitra_p10,Paper:mitra,REPORTED_IN:24c6f0ea55232bf8,REPORTED_IN,reported in this paper,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,1.0,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,,,
Document:doc_mitra_p10,Method:mle,MENTIONS:df5e0a659914ad2d,MENTIONS,The document chunk mentions maximum likelihood estimation for parameter fitting.,by means of maximum likelihood estimation,0.95,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
Document:doc_mitra_p10,Instrument:hiwatch_s_ptv,MENTIONS:46b47cd6a471dbac,MENTIONS,The document chunk mentions the HiWatchS-PTV system for droplet data acquisition.,Using the HiWatchS-PTV system,0.95,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,10,mitra.pdf
