id,label,type,description,citations,pages,file_name,relevance,paper_stem
Method:linear_regression,linear_regression,Method,A linear regression function g(z)=a·z+b is used to map process parameters to distribution parameters.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.9,mitra
Equation:eq5_linear_g,eq5_linear_g,Equation,Equation (5) specifies g(z)=a·z+b for z∈R.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.9,mitra
Variable:a_param,a_param,Variable,a is a fitted parameter (in R^m) of the linear regression function g(z)=a·z+b.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.75,mitra
Variable:b_param,b_param,Variable,b is a fitted parameter (in R^m) of the linear regression function g(z)=a·z+b.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.75,mitra
Method:mse_regression,mse_regression,Method,Mean-squared-error-based regression is used to determine optimal a* and b* from paired z_i and θ_i* values. | A mean-squared error-based regression used to fit parameters to data.,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374 || mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.9,mitra
Equation:eq6_mse,eq6_mse,Equation,"Equation (6) defines (a*,b*)=argmin_{a,b∈R^m} (1/n)∑_{i=1}^n (g(z_i)−θ_i*)^2.",mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.9,mitra
Descriptor:droplet_size_distribution,droplet_size_distribution,Descriptor,Droplet size distribution is analyzed to study atomization under different process parameters.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.8,mitra
Descriptor:droplet_velocity_distribution,droplet_velocity_distribution,Descriptor,Droplet velocity distribution is analyzed to study atomization under different process parameters.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.8,mitra
Concept:atomization_process,atomization_process,Concept,The atomization process produces droplets whose size and velocity distributions are analyzed.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.7,mitra
Instrument:two_fluid_nozzle,two_fluid_nozzle,Instrument,A two-fluid nozzle is used to produce droplets whose size and velocity distributions are measured.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.7,mitra
Instrument:hiwatch_s_ptv,hiwatch_s_ptv,Instrument,The HiWatchS-PTV system is used to obtain droplet data for selected representative experimental cases.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.8,mitra
Dataset:droplet_dataset_cases,droplet_dataset_cases,Dataset,"Droplet data were obtained for representative cases F1B1, F1B2, and F2B2 using the HiWatchS-PTV system.",mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.75,mitra
Dataset:case_f1b1,case_F1B1,Dataset,Experimental case F1B1 corresponds to a low feed rate with a low binder.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.6,mitra
Dataset:case_f1b2,case_F1B2,Dataset,Experimental case F1B2 corresponds to a low feed rate with a high binder.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.6,mitra
Dataset:case_f2b2,case_F2B2,Dataset,Experimental case F2B2 corresponds to a high feed rate with a high binder.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.6,mitra
Chunk:chunk_07eaf63ef31d9e7c,chunk_07eaf63ef31d9e7c,Chunk,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,1.0,mitra
Document:mitra_p15_chunk_07eaf63ef31d9e7c,mitra_p15_chunk_07eaf63ef31d9e7c,Document,PDF chunk describing regression-based prediction of descriptor distributions for process parameters in F and B series.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.7,mitra
Method:regression_procedure_sec2_7,regression_procedure_sec2_7,Method,Regression procedure (described in Section 2.7) applied to experimental series to predict descriptor probability densities.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.85,mitra
Dataset:f_series,F_series,Dataset,Dataset/series of experiments with varying feed rate (F series).,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.8,mitra
Dataset:b_series,B_series,Dataset,Dataset/series of experiments with varying binder concentration (B series).,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.8,mitra
Variable:descriptor_d_fmax,descriptor_d_Fmax,Variable,Granule descriptor d_Fmax whose distribution is modeled and predicted via regression.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.85,mitra
Variable:descriptor_psi_a,descriptor_Psi_A,Variable,Granule descriptor Ψ_A whose distribution is modeled and predicted via regression.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.85,mitra
Variable:model_parameters_theta,model_parameters_theta,Variable,"Model parameters θ of the probability density functions for the conducted experiments. | Model parameters θ1,...,θn representing a low-dimensional description of fitted distributions.",mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c || mitra.pdf p.9 page_text chunk_292a513b17ac9374,"15,9",mitra.pdf,0.8,mitra
Method:regression_function_g,regression_function_g,Method,Regression function g fitted to capture the relationship between process parameters z and model parameters θ.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.9,mitra
Equation:equation_5,equation_5,Equation,Equation (5) referenced as defining or supporting regression function g.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.5,mitra
Equation:equation_6,equation_6,Equation,Equation (6) referenced as defining or supporting regression function g.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.5,mitra
Concept:lognormal_distribution,lognormal_distribution,Concept,Lognormal distribution used for modeling the descriptor d_Fmax.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.7,mitra
Concept:normal_distribution,normal_distribution,Concept,Normal distribution used for modeling the descriptor Ψ_A.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.7,mitra
Finding:high_degree_of_agreement,high_degree_of_agreement,Finding,Observation that fitted regression lines agree strongly with the model parameters.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.75,mitra
Application:prediction_intermediate_conditions,prediction_intermediate_conditions,Application,Using fitted regression functions to predict descriptor distributions for intermediate feed rates or binder concentrations not experimentally measured.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.8,mitra
Limitation:unmeasured_process_parameters,unmeasured_process_parameters,Limitation,Predictions target process parameters for which no measurements have been conducted yet (not experimentally measured).,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.65,mitra
Descriptor:feed_rate_range_11_20,feed_rate_range_11_20,Descriptor,"Feed rate range expressed as z ∈ [11,20] for which predictions are stated for the F series regression.",mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.6,mitra
Descriptor:binder_concentration_fixed_0_8wtpct,binder_concentration_fixed_0_8wtpct,Descriptor,Fixed binder concentration of 0.8 wt% specified for predictions using the F series regression function.,mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,15,mitra.pdf,0.6,mitra
Chunk:chunk_292a513b17ac9374,chunk_292a513b17ac9374,Chunk,mitra.pdf p.9 page_text chunk_292a513b17ac9374,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,1.0,mitra
Document:mitra_p9_chunk_292a,mitra_p9_chunk_292a,Document,PDF chunk discussing Feret-diameter-based granule shape descriptors and parametric modeling of descriptor distributions.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,1.0,mitra
Concept:granule_morphology,granule_morphology,Concept,Morphological characterization of granules using size and shape descriptors.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.9,mitra
Variable:feret_min,feret_min,Variable,Minimum Feret diameter used as a shape/size descriptor component.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.85,mitra
Variable:feret_max,feret_max,Variable,Maximum Feret diameter used as a shape/size descriptor component.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.85,mitra
Variable:diameter_d,diameter_d,Variable,Diameter descriptor d defined via an equation using Feret diameters.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.7,mitra
Variable:aspect_ratio_psi,aspect_ratio_psi,Variable,Aspect ratio Ψ is a dimensionless number between 0 and 1 indicating compactness or elongation.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.95,mitra
Equation:eq2_aspect_ratio,eq2_aspect_ratio,Equation,Equation (2) defines the aspect ratio as the ratio of minimum to maximum Feret diameter.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.95,mitra
Descriptor:robust_orientation_independent,robust_orientation_independent,Descriptor,Property of calculations being robust and orientation-independent.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.7,mitra
Concept:shape_compactness_elongation,shape_compactness_elongation,Concept,Interpretation of aspect ratio values as compact (≈1) or elongated (≪1) 2D silhouettes.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.75,mitra
Concept:size_distribution,size_distribution,Concept,Granule size distribution studied in relation to process parameters.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.7,mitra
Concept:shape_uniformity,shape_uniformity,Concept,Uniformity of granule shape studied in relation to process parameters.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.7,mitra
Method:parametric_modeling,parametric_modeling,Method,Parametric modeling of descriptor distributions using fitted probability density families for comparison and prediction. | Modeling approach that fits parametric probability density families to measured data sets.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae || mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.95,mitra
Dataset:descriptor_datasets_a,descriptor_datasets_A,Dataset,"Finite datasets A1,...,An of granule descriptors measured for different experimental cases.",mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.85,mitra
Variable:process_parameters_z,process_parameters_z,Variable,"Process parameters z1,...,zn associated with experiments and linked to model parameters.",mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.8,mitra
Concept:parametric_density_family_f,parametric_density_family_f,Concept,"Parametric family of probability densities {fθ, θ∈Θ} fitted to descriptor datasets.",mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.8,mitra
Method:kde,kde,Method,"Kernel density estimation (KDE) mentioned as a non-parametric technique for distribution estimation. | Kernel density estimation (KDE), described as simple to implement and assumption-free on the data.",mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae || mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.55,mitra
Method:regression,regression,Method,Regression used to relate process parameters to model parameters for predicting descriptor distributions.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.85,mitra
Application:inline_process_monitoring,inline_process_monitoring,Application,Inline process monitoring where benefits of parametric modeling are especially important.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.65,mitra
Finding:advantages_parametric,advantages_parametric,Finding,"Parametric modeling is described as offering interpretability, dimensionality reduction, and computational efficiency.",mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.7,mitra
Finding:prediction_not_yet_conducted,prediction_not_yet_conducted,Finding,Descriptor distributions can be predicted for not-yet-conducted experiments via regression between z and θ.,mitra.pdf p.9 page_text chunk_292a513b17ac9374,9,mitra.pdf,0.7,mitra
Chunk:chunk_073a8613a554e6ae,chunk_073a8613a554e6ae,Chunk,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,1.0,mitra
Document:mitra_p9,mitra_p9,Document,A page of mitra.pdf discussing parametric modeling of granule descriptor distributions and an equation candidate.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.9,mitra
Concept:granule_descriptor_distributions,granule_descriptor_distributions,Concept,Distributions of granule descriptors measured for different experimental cases.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.85,mitra
Concept:experimental_cases,experimental_cases,Concept,Different experimental cases for which granule descriptor distributions are measured.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.6,mitra
Dataset:measured_data_sets,measured_data_sets,Dataset,Measured data sets of granule descriptors used for model fitting.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.75,mitra
Equation:parametric_family_f_theta,parametric_family_f_theta,Equation,"A parametric family of probability densities denoted f_θ mapping from R to [0,∞).",mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.8,mitra
Variable:model_parameters,model_parameters,Variable,"Model parameters θ1,...,θn used to represent the measured data sets in low dimension.",mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.85,mitra
Variable:parameter_space_theta,parameter_space_Theta,Variable,Parameter space Θ that is a subset of R^m.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.7,mitra
Variable:dimension_m,dimension_m,Variable,An integer m≥1 indicating the dimension of the parameter space R^m.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.55,mitra
Equation:eq_theta_in_theta,eq_theta_in_Theta,Equation,"Constraint that θ1,...,θn ∈ Θ ⊂ R^m for some integer m ≥ 1.",mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.9,mitra
Concept:low_dim_representation,low_dim_representation,Concept,A low-dimensional representation of the data sets in terms of model parameters.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.85,mitra
Method:nonparametric_techniques,nonparametric_techniques,Method,Non-parametric techniques such as KDEs used for density estimation.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.65,mitra
Descriptor:interpretability,interpretability,Descriptor,Interpretability listed as an advantage of parametric modeling.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.55,mitra
Descriptor:dimensionality_reduction,dimensionality_reduction,Descriptor,Dimensionality reduction listed as an advantage of parametric modeling.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.6,mitra
Descriptor:computational_efficiency,computational_efficiency,Descriptor,Computational efficiency listed as an advantage of parametric modeling.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.6,mitra
Concept:feret_diameters,feret_diameters,Concept,Minimum and maximum Feret diameters referenced via a schematic representation for an irregular object.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.55,mitra
Finding:finding_low_parametric_achieved,finding_low_parametric_achieved,Finding,A low-dimensional representation in terms of model parameters was achieved.,mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.85,mitra
Finding:finding_parametric_advantages,finding_parametric_advantages,Finding,"Parametric modeling is said to provide interpretability, dimensionality reduction, and computational efficiency.",mitra.pdf p.9 equation_candidate chunk_073a8613a554e6ae,9,mitra.pdf,0.8,mitra
Chunk:chunk_295840f7d0018374,chunk_295840f7d0018374,Chunk,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,1.0,mitra
Document:mitra_p10_chunk295840f7d0018374,mitra_p10_chunk295840f7d0018374,Document,A PDF chunk from mitra.pdf page 10 containing an extracted regression objective labeled as Equation (6).,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.9,mitra
Equation:eq6_argmin_mse,eq6_argmin_mse,Equation,"Equation (6) defines optimal parameters (a*, b*) by minimizing mean squared error between g(z_i) and theta_i* over i=1..n.",mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,1.0,mitra
Variable:param_a,param_a,Variable,Parameter vector a in R^m that is fitted to data.,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.8,mitra
Variable:param_b,param_b,Variable,Parameter vector b in R^m that is fitted to data.,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.8,mitra
Variable:param_a_star,param_a_star,Variable,Optimal parameter vector a* in R^m obtained from the argmin problem.,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.85,mitra
Variable:param_b_star,param_b_star,Variable,Optimal parameter vector b* in R^m obtained from the argmin problem.,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.85,mitra
Variable:z_i,z_i,Variable,"Input data points z_1,...,z_n used in the regression.",mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.75,mitra
Variable:theta_i_star,theta_i_star,Variable,"Target values theta_1*,...,theta_n* used in the regression objective.",mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.75,mitra
Concept:g_of_z,g_of_z,Concept,A function g applied to inputs z_i whose output is compared against theta_i* in the loss.,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.7,mitra
Variable:n_samples,n_samples,Variable,The sample count n used to average the squared errors in the objective.,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.6,mitra
Limitation:unverified_equation_flag,unverified_equation_flag,Limitation,The chunk flags the extracted equation as unverified and requiring review before use as a paper fact.,mitra.pdf p.10 equation_candidate chunk_295840f7d0018374,10,mitra.pdf,0.7,mitra
Chunk:chunk_1c86e251de2cb8bc,chunk_1c86e251de2cb8bc,Chunk,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,1.0,mitra
